,CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs,ExecutionTimeMs
97,AtomicEnum,ErrorReturn,1754072788712830868,,,1754072815740620455,,27027.789587
98,AtomicEnum,ErrorReturn,1754072815740624670,,,1754072843493577529,,27752.952859
99,AtomicEnum,ErrorReturn,1754072843493583608,,,1754072870544544363,,27050.960755
500,AtomicEnum,Exception,1754073526352357001,,,1754073552147063402,,25794.706401
501,AtomicEnum,Exception,1754073552147072196,,,1754073577959037774,,25811.965578
502,AtomicEnum,Exception,1754073577959047757,,,1754073604642912372,,26683.864615
503,AtomicEnum,Exception,1754073604642920149,,,1754073632074969916,,27432.049767
504,AtomicEnum,Exception,1754073632074977434,,,1754073658214904419,,26139.926985
505,AtomicEnum,Exception,1754073658214910527,,,1754073685121897578,,26906.987051
506,AtomicEnum,Exception,1754073685121905617,,,1754073712638421557,,27516.51594
507,AtomicEnum,Exception,1754073712638428091,,,1754073739053208627,,26414.780536
508,AtomicEnum,Exception,1754073739053218922,,,1754073764849403662,,25796.18474
509,AtomicEnum,Exception,1754073764849410836,,,1754073791771827300,,26922.416464
510,AtomicEnum,Exception,1754073791771834951,,,1754073818900114744,,27128.279793
511,AtomicEnum,Exception,1754073818900121659,,,1754073845774865192,,26874.743533
512,AtomicEnum,Exception,1754073845774872953,,,1754073872436077833,,26661.20488
513,AtomicEnum,Exception,1754073872436084239,,,1754073899463585853,,27027.501614
514,AtomicEnum,Exception,1754073899463593169,,,1754073926160764674,,26697.171505
515,AtomicEnum,Exception,1754073926160773710,,,1754073951984576539,,25823.802829
516,AtomicEnum,Exception,1754073951984584018,,,1754073977946634391,,25962.050373
517,AtomicEnum,Exception,1754073977946642340,,,1754074005024447524,,27077.805184
518,AtomicEnum,Exception,1754074005024462607,,,1754074031937356220,,26912.893613
519,AtomicEnum,Exception,1754074031937365343,,,1754074059465511520,,27528.146177
520,AtomicEnum,Exception,1754074059465518694,,,1754074086236100218,,26770.581524
521,AtomicEnum,Exception,1754074086236108713,,,1754074113027197041,,26791.088328
522,AtomicEnum,Exception,1754074113027205093,,,1754074140328257375,,27301.052282
523,AtomicEnum,Exception,1754074140328264046,,,1754074167179125289,,26850.861243
524,AtomicEnum,Exception,1754074167179131653,,,1754074193214735080,,26035.603427
525,AtomicEnum,Exception,1754074193214743724,,,1754074218990217991,,25775.474267
526,AtomicEnum,Exception,1754074218990228321,,,1754074244953571097,,25963.342776
527,AtomicEnum,Exception,1754074244953580004,,,1754074271936595809,,26983.015805
528,AtomicEnum,Exception,1754074271936601930,,,1754074299063510133,,27126.908203
529,AtomicEnum,Exception,1754074299063515969,,,1754074325932882933,,26869.366964
530,AtomicEnum,Exception,1754074325932891254,,,1754074352040391541,,26107.500287
531,AtomicEnum,Exception,1754074352040399777,,,1754074378159332685,,26118.932908
532,AtomicEnum,Exception,1754074378159340884,,,1754074403960048601,,25800.707717
533,AtomicEnum,Exception,1754074403960055959,,,1754074429767558126,,25807.502167
534,AtomicEnum,Exception,1754074429767566878,,,1754074455546242898,,25778.67602
535,AtomicEnum,Exception,1754074455546249540,,,1754074481510058042,,25963.808502
536,AtomicEnum,Exception,1754074481510066393,,,1754074507659755024,,26149.688631
537,AtomicEnum,Exception,1754074507659762954,,,1754074534551191296,,26891.428342
538,AtomicEnum,Exception,1754074534551197998,,,1754074561815376323,,27264.178325
539,AtomicEnum,Exception,1754074561815385742,,,1754074588647273035,,26831.887293
540,AtomicEnum,Exception,1754074588647280886,,,1754074615575173841,,26927.892955
541,AtomicEnum,Exception,1754074615575181655,,,1754074642489953699,,26914.772044
542,AtomicEnum,Exception,1754074642489961433,,,1754074669096937619,,26606.976186
543,AtomicEnum,Exception,1754074669096946323,,,1754074695939485673,,26842.53935
544,AtomicEnum,Exception,1754074695939500657,,,1754074722780291920,,26840.791263
545,AtomicEnum,Exception,1754074722780298938,,,1754074749525374115,,26745.075177
546,AtomicEnum,Exception,1754074749525382346,,,1754074776223871046,,26698.4887
547,AtomicEnum,Exception,1754074776223880110,,,1754074802294607803,,26070.727693
548,AtomicEnum,Exception,1754074802294616530,,,1754074828132281590,,25837.66506
549,AtomicEnum,Exception,1754074828132288709,,,1754074854113857559,,25981.56885
550,AtomicEnum,Exception,1754074854113861941,,,1754074880422958561,,26309.09662
551,AtomicEnum,Exception,1754074880422968009,,,1754074907238122766,,26815.154757
552,AtomicEnum,Exception,1754074907238130136,,,1754074933701576016,,26463.44588
553,AtomicEnum,Exception,1754074933701583885,,,1754074960540851327,,26839.267442
554,AtomicEnum,Exception,1754074960540860589,,,1754074986979325611,,26438.465022
555,AtomicEnum,Exception,1754074986979334973,,,1754075012848843128,,25869.508155
556,AtomicEnum,Exception,1754075012848851437,,,1754075039805614419,,26956.762982
557,AtomicEnum,Exception,1754075039805622117,,,1754075067058108248,,27252.486131
558,AtomicEnum,Exception,1754075067058114917,,,1754075093472572054,,26414.457137
559,AtomicEnum,Exception,1754075093472581419,,,1754075120380384939,,26907.80352
560,AtomicEnum,Exception,1754075120380392160,,,1754075147246297518,,26865.905358
561,AtomicEnum,Exception,1754075147246306781,,,1754075174110730850,,26864.424069
562,AtomicEnum,Exception,1754075174110737316,,,1754075199968070108,,25857.332792
563,AtomicEnum,Exception,1754075199968077616,,,1754075225842769121,,25874.691505
564,AtomicEnum,Exception,1754075225842776618,,,1754075251678230256,,25835.453638
565,AtomicEnum,Exception,1754075251678238015,,,1754075277582409449,,25904.171434
566,AtomicEnum,Exception,1754075277582417968,,,1754075303390505403,,25808.087435
567,AtomicEnum,Exception,1754075303390510559,,,1754075329193342925,,25802.832366
568,AtomicEnum,Exception,1754075329193349862,,,1754075355295265465,,26101.915603
569,AtomicEnum,Exception,1754075355295272035,,,1754075381237828607,,25942.556572
570,AtomicEnum,Exception,1754075381237841545,,,1754075407536253548,,26298.412003
571,AtomicEnum,Exception,1754075407536257916,,,1754075433815686583,,26279.428667
572,AtomicEnum,Exception,1754075433815695768,,,1754075459869905858,,26054.21009
573,AtomicEnum,Exception,1754075459869913861,,,1754075485640336435,,25770.422574
574,AtomicEnum,Exception,1754075485640345957,,,1754075511561496263,,25921.150306
575,AtomicEnum,Exception,1754075511561503340,,,1754075537989945571,,26428.442231
576,AtomicEnum,Exception,1754075537989954846,,,1754075563766021303,,25776.066457
577,AtomicEnum,Exception,1754075563766025711,,,1754075589829943890,,26063.918179
578,AtomicEnum,Exception,1754075589829952334,,,1754075615917557297,,26087.604963
579,AtomicEnum,Exception,1754075615917566077,,,1754075642690454630,,26772.888553
580,AtomicEnum,Exception,1754075642690461991,,,1754075668511793127,,25821.331136
581,AtomicEnum,Exception,1754075668511796891,,,1754075694243575188,,25731.778297
582,AtomicEnum,Exception,1754075694243584907,,,1754075720762208406,,26518.623499
583,AtomicEnum,Exception,1754075720762215777,,,1754075746560821372,,25798.605595
584,AtomicEnum,Exception,1754075746560830050,,,1754075772845394886,,26284.564836
585,AtomicEnum,Exception,1754075772845400964,,,1754075798687014757,,25841.613793
586,AtomicEnum,Exception,1754075798687020758,,,1754075824478732056,,25791.711298
587,AtomicEnum,Exception,1754075824478739755,,,1754075850286038698,,25807.298943
588,AtomicEnum,Exception,1754075850286046698,,,1754075876081648429,,25795.601731
589,AtomicEnum,Exception,1754075876081657059,,,1754075901931284086,,25849.627027
